# id, name, health, attack, intelligence, defence, magic_resistance, agility, critical_hit, experience
0,Assassin,5,6,1,2,1,5,4,4,2
1,Asura,10,10,10,10,10,10,10,10
2,Bandit,10,10,10,10,10,10,10,10
3,Bat,5,5,3,10,10,10,10,10
4,Behemoth,10,10,10,10,10,10,10,10
5,Captain,10,10,10,10,10,10,10,10
6,Chimera,10,10,10,10,10,10,10,10
7,Cleric_f,10,10,10,10,10,10,10,10
8,Cleric_m,10,10,10,10,10,10,10,10
9,Cockatrice,10,10,10,10,10,10,10,10
10,Darklord,10,10,10,10,10,10,10,10
11,Death,10,10,10,10,10,10,10,10
12,Delf_f,10,10,10,10,10,10,10,10
13,Delf_m,10,10,10,10,10,10,10,10
14,Demon,10,10,10,10,10,10,10,10
15,Dragon,10,10,10,10,10,10,10,10
16,Earthspirit,10,10,10,10,10,10,10,10
17,Evilgod,10,10,10,10,10,10,10,10
18,Evilking,10,10,10,10,10,10,10,10
19,Fairy,10,10,10,10,10,10,10,10
20,Fanatic,10,10,10,10,10,10,10,10
21,Firespirit,10,10,10,10,10,10,10,10
22,Gargoyle,10,10,10,10,10,10,10,10
23,Garuda,10,10,10,10,10,10,10,10
24,Gayzer,10,10,10,10,10,10,10,10
25,General,10,10,10,10,10,10,10,10
26,Ghost,10,10,10,10,10,10,10,10
27,Goddess,10,10,10,10,10,10,10,10
28,Grappler_f,10,10,10,10,10,10,10,10
29,Grappler_m,10,10,10,10,10,10,10,10
30,Hero_f,10,10,10,10,10,10,10,10
31,Hero_m,10,10,10,10,10,10,10,10
32,Hornet,10,10,10,10,10,10,10,10
33,Icelady,10,10,10,10,10,10,10,10
34,Imp,10,10,10,10,10,10,10,10
35,Jellyfish,10,10,10,10,10,10,10,10
36,Kerberos,10,10,10,10,10,10,10,10
37,Lamia,10,10,10,10,10,10,10,10
38,Mage,10,10,10,10,10,10,10,10
39,Mimic,10,10,10,10,10,10,10,10
40,Minotaur,10,10,10,10,10,10,10,10
41,Ogre,10,10,10,10,10,10,10,10
42,Paladin_f,10,10,10,10,10,10,10,10
43,Paladin_m,10,10,10,10,10,10,10,10
44,Plant,10,10,10,10,10,10,10,10
45,Priest,10,10,10,10,10,10,10,10
46,Puppet,10,10,10,10,10,10,10,10
47,Rat,10,10,10,10,10,10,10,10
48,Rogue,10,10,10,10,10,10,10,10
49,Sahagin,10,10,10,10,10,10,10,10
50,Scorpion,10,10,10,10,10,10,10,10
51,Skeleton,10,10,10,10,10,10,10,10
52,Slime,10,10,10,10,10,10,10,10
53,Snake,10,10,10,10,10,10,10,10
54,Soldier,10,10,10,10,10,10,10,10
55,Spider,10,10,10,10,10,10,10,10
56,Succubus,10,10,10,10,10,10,10,10
57,Swordman,10,10,10,10,10,10,10,10
58,Thief_f,10,10,10,10,10,10,10,10
59,Thief_m,10,10,10,10,10,10,10,10
60,Vampire,10,10,10,10,10,10,10,10
61,Warrior_f,10,10,10,10,10,10,10,10
62,Warrior_m,10,10,10,10,10,10,10,10
63,Waterspirit,10,10,10,10,10,10,10,10
64,Werewolf,10,10,10,10,10,10,10,10
65,Willowisp,10,10,10,10,10,10,10,10
66,Windspirit,10,10,10,10,10,10,10,10
67,Wizard_f,10,10,10,10,10,10,10,10
68,Wizard_m,10,10,10,10,10,10,10,10
69,Zombie,10,10,10,10,10,10,10,10
